"username","eventid","UID","exportime","eventdate","eventtype","userstatus","eventtitle"
"Juked","1172381451925336114","1172381451925336114-Juked","11/18/2023 12:15:01 PM","11/19/2023","optional","Absence","Sunday Raid (Optional)"
"Kaiser","1172381451925336114","1172381451925336114-Kaiser","11/18/2023 12:15:01 PM","11/19/2023","optional","Present","Sunday Raid (Optional)"
"Porf","1172381451925336114","1172381451925336114-Porf","11/18/2023 12:15:01 PM","11/19/2023","optional","Present","Sunday Raid (Optional)"
"Jaba","1172381451925336114","1172381451925336114-Jaba","11/18/2023 12:15:01 PM","11/19/2023","optional","Present","Sunday Raid (Optional)"
"Iny","1172381451925336114","1172381451925336114-Iny","11/18/2023 12:15:01 PM","11/19/2023","optional","Present","Sunday Raid (Optional)"
"Jergin","1172381451925336114","1172381451925336114-Jergin","11/18/2023 12:15:01 PM","11/19/2023","optional","Present","Sunday Raid (Optional)"
"Irrelevant","1172381451925336114","1172381451925336114-Irrelevant","11/18/2023 12:15:01 PM","11/19/2023","optional","Present","Sunday Raid (Optional)"
"Proflex","1172381451925336114","1172381451925336114-Proflex","11/18/2023 12:15:01 PM","11/19/2023","optional","Present","Sunday Raid (Optional)"
"Apax","1172381451925336114","1172381451925336114-Apax","11/18/2023 12:15:01 PM","11/19/2023","optional","Present","Sunday Raid (Optional)"
"Loa","1172381451925336114","1172381451925336114-Loa","11/18/2023 12:15:01 PM","11/19/2023","optional","Tentative","Sunday Raid (Optional)"
"Sithicc","1172381451925336114","1172381451925336114-Sithicc","11/18/2023 12:15:01 PM","11/19/2023","optional","Present","Sunday Raid (Optional)"
"KC","1172381451925336114","1172381451925336114-KC","11/18/2023 12:15:01 PM","11/19/2023","optional","Tentative","Sunday Raid (Optional)"
"Hatterz","1172381451925336114","1172381451925336114-Hatterz","11/18/2023 12:15:01 PM","11/19/2023","optional","Absence","Sunday Raid (Optional)"
"Gus","1172381451925336114","1172381451925336114-Gus","11/18/2023 12:15:01 PM","11/19/2023","optional","Present","Sunday Raid (Optional)"
"Aea","1172381451925336114","1172381451925336114-Aea","11/18/2023 12:15:01 PM","11/19/2023","optional","Present","Sunday Raid (Optional)"
"Embe","1172381451925336114","1172381451925336114-Embe","11/18/2023 12:15:01 PM","11/19/2023","optional","Present","Sunday Raid (Optional)"
"Krippz","1172381451925336114","1172381451925336114-Krippz","11/18/2023 12:15:01 PM","11/19/2023","optional","Present","Sunday Raid (Optional)"
"Wynd","1172381451925336114","1172381451925336114-Wynd","11/18/2023 12:15:01 PM","11/19/2023","optional","Present","Sunday Raid (Optional)"
"Blasph","1172381451925336114","1172381451925336114-Blasph","11/18/2023 12:15:01 PM","11/19/2023","optional","Present","Sunday Raid (Optional)"
"Zero","1172381451925336114","1172381451925336114-Zero","11/18/2023 12:15:01 PM","11/19/2023","optional","Present","Sunday Raid (Optional)"
"Analendon","1172381451925336114","1172381451925336114-Analendon","11/18/2023 12:15:01 PM","11/19/2023","optional","Absence","Sunday Raid (Optional)"
"Shlup","1172381451925336114","1172381451925336114-Shlup","11/18/2023 12:15:01 PM","11/19/2023","optional","Present","Sunday Raid (Optional)"
"Kniftty","1172381451925336114","1172381451925336114-Kniftty","11/18/2023 12:15:01 PM","11/19/2023","optional","Present","Sunday Raid (Optional)"
"Ici","1172381451925336114","1172381451925336114-Ici","11/18/2023 12:15:01 PM","11/19/2023","optional","Tentative","Sunday Raid (Optional)"
